MSSV,Họ tên,Ngày sinh,Giới tính,Khoa,Khóa,Chương trình,Địa chỉ tạm trú - Đường,Địa chỉ tạm trú - Phường/Xã,Địa chỉ tạm trú - Quận/Huyện,Địa chỉ tạm trú - Tỉnh/Thành phố,Địa chỉ tạm trú - Quốc gia,Địa chỉ thường trú - Đường,Địa chỉ thường trú - Phường/Xã,Địa chỉ thường trú - Quận/Huyện,Địa chỉ thường trú - Tỉnh/Thành phố,Địa chỉ thường trú - Quốc gia,Địa chỉ nhận thư - Đường,Địa chỉ nhận thư - Phường/Xã,Địa chỉ nhận thư - Quận/Huyện,Địa chỉ nhận thư - Tỉnh/Thành phố,Địa chỉ nhận thư - Quốc gia,Email,SĐT,Tình trạng,Quốc tịch,Số CMND,Ngày cấp CMND,Nơi cấp CMND,Ngày hết hạn CMND,Số CCCD,Ngày cấp CCCD,Nơi cấp CCCD,Ngày hết hạn CCCD,Chip,Số hộ chiếu,Ngày cấp hộ chiếu,Nơi cấp hộ chiếu,Ngày hết hạn hộ chiếu,Quốc gia cấp,Ghi chú
20210001,Nguyễn Văn A,2000-05-15,Nam,FRA,2021,CQ,123 Lê Duẩn,Bến Nghé,Quận 1,TP.HCM,Việt Nam,456 Nguyễn Trãi,Phường 5,Quận Gò Vấp,TP.HCM,Việt Nam,123 Lê Duẩn,Bến Nghé,Quận 1,TP.HCM,Việt Nam,nguyenvana@.university.edu.vn,0912345678,Đang học,Việt Nam,123456789,2018-06-20,CA TP.HCM,2028-06-20,001200123456,2021-01-15,CA TP.HCM,2031-01-15,Có,AB1234567,2020-03-10,Cục QLXNC,2030-03-10,Việt Nam,
20210002,Trần Thị B,2001-08-22,Nữ,PN,2021,TT,45 Trần Hưng Đạo,Phường 2,Quận 5,TP.HCM,Việt Nam,78 Lý Thường Kiệt,Phường 3,Quận 10,TP.HCM,Việt Nam,45 Trần Hưng Đạo,Phường 2,Quận 5,TP.HCM,Việt Nam,tranthib@student.university.edu.vn,0912345679,Đang học,Việt Nam,987654321,2019-05-10,CA Hà Nội,2029-05-10,001200654321,2021-02-20,CA Hà Nội,2031-02-20,Không,CD9876543,2021-04-15,Cục QLXNC,2031-04-15,Việt Nam,
20210003,Lê Văn C,1999-11-30,Nam,ENCO,2020,CLC,12 Nguyễn Huệ,Bến Nghé,Quận 1,TP.HCM,Việt Nam,34 Lê Lợi,Phường Bến Thành,Quận 1,TP.HCM,Việt Nam,12 Nguyễn Huệ,Bến Nghé,Quận 1,TP.HCM,Việt Nam,levanc@student.university.edu.vn,0912345680,Tốt nghiệp,Việt Nam,456123789,2017-12-05,CA Đà Nẵng,2027-12-05,001200789123,2020-03-25,CA Đà Nẵng,2030-03-25,Có,EF4567890,2019-07-20,Cục QLXNC,2029-07-20,Việt Nam,
20210004,Phạm Thị D,2002-03-10,Nữ,LAW,2022,TN,89 Lê Văn Sỹ,Phường 10,Quận Phú Nhuận,TP.HCM,Việt Nam,12 Hoàng Diệu,Phường 12,Quận 4,TP.HCM,Việt Nam,89 Lê Văn Sỹ,Phường 10,Quận Phú Nhuận,TP.HCM,Việt Nam,phamthid@student.university.edu.vn,0912345681,Bảo lưu,Việt Nam,789456123,2020-08-15,CA Cần Thơ,2030-08-15,001200456789,2022-05-10,CA Cần Thơ,2032-05-10,Không,GH7890123,2022-01-05,Cục QLXNC,2032-01-05,Việt Nam,
20210005,Hồ Văn E,2001-07-25,Nam,FRA,2021,CQ,56 Võ Văn Tần,Phường 6,Quận 3,TP.HCM,Việt Nam,78 Nguyễn Đình Chiểu,Phường 4,Quận 3,TP.HCM,Việt Nam,56 Võ Văn Tần,Phường 6,Quận 3,TP.HCM,Việt Nam,hovane@student.university.edu.vn,0912345682,Đình chỉ,Việt Nam,321654987,2019-04-12,CA TP.HCM,2029-04-12,001200987654,2021-06-18,CA TP.HCM,2031-06-18,Có,IJ0123456,2020-09-30,Cục QLXNC,2030-09-30,Việt Nam,
20210006,Võ Thị F,2000-12-05,Nữ,JPN,2020,TT,34 Điện Biên Phủ,Phường 15,Bình Thạnh,TP.HCM,Việt Nam,56 Xô Viết Nghệ Tĩnh,Phường 19,Bình Thạnh,TP.HCM,Việt Nam,34 Điện Biên Phủ,Phường 15,Bình Thạnh,TP.HCM,Việt Nam,vothif@student.university.edu.vn,0912345683,Tạm dừng học,Việt Nam,654987321,2018-11-25,CA Hải Phòng,2028-11-25,001200321987,2020-08-22,CA Hải Phòng,2030-08-22,Không,KL3456789,2021-02-14,Cục QLXNC,2031-02-14,Việt Nam,
20210007,Đặng Văn G,2002-01-18,Nam,ENCO,2022,CLC,90 Lê Lai,Phường Bến Thành,Quận 1,TP.HCM,Việt Nam,12 Hàm Nghi,Phường Nguyễn Thái Bình,Quận 1,TP.HCM,Việt Nam,90 Lê Lai,Phường Bến Thành,Quận 1,TP.HCM,Việt Nam,dangvang@student.university.edu.vn,0912345684,Đang học,Việt Nam,987321654,2021-03-08,CA TP.HCM,2031-03-08,001200654987,2022-07-15,CA TP.HCM,2032-07-15,Có,MN6789012,2022-04-20,Cục QLXNC,2032-04-20,Việt Nam,
20210008,Bùi Thị H,2001-09-22,Nữ,LAW,2021,TN,23 Nguyễn Thị Minh Khai,Phường Đa Kao,Quận 1,TP.HCM,Việt Nam,45 Trương Định,Phường 6,Quận 3,TP.HCM,Việt Nam,23 Nguyễn Thị Minh Khai,Phường Đa Kao,Quận 1,TP.HCM,Việt Nam,buithih@student.university.edu.vn,0912345685,Đã thôi học,Việt Nam,123789456,2019-07-14,CA Đà Nẵng,2029-07-14,001200456123,2021-09-30,CA Đà Nẵng,2031-09-30,Không,OP7890123,2021-11-05,Cục QLXNC,2031-11-05,Việt Nam,
20210009,Mai Văn I,2000-04-30,Nam,FRA,2020,CQ,67 Pasteur,Phường 8,Quận 3,TP.HCM,Việt Nam,89 Lý Chính Thắng,Phường 7,Quận 3,TP.HCM,Việt Nam,67 Pasteur,Phường 8,Quận 3,TP.HCM,Việt Nam,maivani@student.university.edu.vn,0912345686,Tốt nghiệp,Việt Nam,456789123,2018-09-20,CA TP.HCM,2028-09-20,001200123789,2020-11-25,CA TP.HCM,2030-11-25,Có,QR9012345,2020-06-15,Cục QLXNC,2030-06-15,Việt Nam,
20210010,Lý Thị K,2002-06-12,Nữ,JPN,2022,TT,78 Lê Thánh Tôn,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,12 Nguyễn Cư Trinh,Phường Nguyễn Cư Trinh,Quận 1,TP.HCM,Việt Nam,78 Lê Thánh Tôn,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,lythik@student.university.edu.vn,0912345687,Đang học,Việt Nam,789123456,2021-02-18,CA Hà Nội,2031-02-18,001200456789,2022-04-05,CA Hà Nội,2032-04-05,Không,ST1234567,2022-03-10,Cục QLXNC,2032-03-10,Việt Nam,
