MSSV,Họ tên,Ngày sinh,Giới tính,Khoa,Khóa,Chương trình,Địa chỉ tạm trú - Đường,Địa chỉ tạm trú - Phường/Xã,Địa chỉ tạm trú - Quận/Huyện,Địa chỉ tạm trú - Tỉnh/Thành phố,Địa chỉ tạm trú - Quốc gia,Địa chỉ thường trú - Đường,Địa chỉ thường trú - Phường/Xã,Địa chỉ thường trú - Quận/Huyện,Địa chỉ thường trú - Tỉnh/Thành phố,Địa chỉ thường trú - Quốc gia,Địa chỉ nhận thư - Đường,Địa chỉ nhận thư - Phường/Xã,Địa chỉ nhận thư - Quận/Huyện,Địa chỉ nhận thư - Tỉnh/Thành phố,Địa chỉ nhận thư - Quốc gia,Email,SĐT,Tình trạng,Quốc tịch,Số CMND,Ngày cấp CMND,Nơi cấp CMND,Ngày hết hạn CMND,Số CCCD,Ngày cấp CCCD,Nơi cấp CCCD,Ngày hết hạn CCCD,Chip,Số hộ chiếu,Ngày cấp hộ chiếu,Nơi cấp hộ chiếu,Ngày hết hạn hộ chiếu,Quốc gia cấp hộ chiếu,Ghi chú
11,1,2025-04-16,Khác,JPN,2022,CQ,,,,,,,,,,,,,,,,thanh@student.university.edu.vn,1,Đang học,,,,,,,,,,,,,,,,
2019004,Phạm Minh D,2000-07-08,Nữ,,2022,CQ,22 Nguyễn Huệ,Thuận Thành,Thành phố Huế,Thừa Thiên Huế,Vietnam,44 Hùng Vương,Vĩnh Ninh,Thành phố Huế,Thừa Thiên Huế,Vietnam,55 Bạch Đằng,Phú Hội,Thành phố Huế,Thừa Thiên Huế,Vietnam,minhd@student.university.edu.vn,0945678901,Tốt nghiệp,Vietnam,789123456,2017-07-10,Công an tỉnh Thừa Thiên Huế,2027-07-10,,,,,,,,,,,
2019008,Lê Văn CC,2000-06-22,Nam,FRA,2019,,55 Hoàng Sa,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,Vietnam,44 Võ Nguyên Giáp,Sơn Trà,Sơn Trà,Đà Nẵng,Vietnam,33 Quang Trung,Hải Châu,Hải Châu,Đà Nẵng,Vietnam,vancc@student.university.edu.vn,0947654321,Tốt nghiệp,Vietnam,,,,,,,,,,,,,,,
2019011,Lê Văn OO,2000-11-25,Nam,ENCO,2019,CQ,55 Nguyễn Huệ,Phú Hội,Thành phố Huế,Thừa Thiên Huế,Vietnam,44 Lê Lợi,Vĩnh Ninh,Thành phố Huế,Thừa Thiên Huế,Vietnam,33 Hùng Vương,Thành phố Huế,Thành phố Huế,Thừa Thiên Huế,Vietnam,vanoo@student.university.edu.vn,0949871098,Tốt nghiệp,Vietnam,,,,,,,,,,,,,,,
2019012,Lê Văn SS,2000-05-05,Nam,FRA,2019,CLC,88 Hoàng Sa,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,Vietnam,77 Võ Nguyên Giáp,Sơn Trà,Sơn Trà,Đà Nẵng,Vietnam,66 Quang Trung,Hải Châu,Hải Châu,Đà Nẵng,Vietnam,vanss@student.university.edu.vn,0943215432,Tốt nghiệp,Vietnam,,,,,,,,,,,,,,,
2019013,Lê Văn WW,2000-09-10,Nam,FRA,2019,CQ,22 Nguyễn Huệ,Phú Hội,Thành phố Huế,Thừa Thiên Huế,Vietnam,11 Lê Lợi,Vĩnh Ninh,Thành phố Huế,Thừa Thiên Huế,Vietnam,99 Hùng Vương,Thành phố Huế,Thành phố Huế,Thừa Thiên Huế,Vietnam,vanww@student.university.edu.vn,0948765432,Tốt nghiệp,Vietnam,,,,,,,,,,,,,,,
2020002,Đoàn Thị L,2001-05-25,Nữ,LAW,2020,CLC,11 Phan Châu Trinh,Hải Châu,Hải Châu,Đà Nẵng,Vietnam,202 Lê Duẩn,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,Vietnam,100 Lý Tự Trọng,Sơn Trà,Sơn Trà,Đà Nẵng,Vietnam,lthith@student.university.edu.vn,0987651234,Đã thôi học,Vietnam,963741852,2019-05-01,Công an TP Đà Nẵng,2029-05-01,,,,,,,,,,,
2020003,Lê Văn C,2001-12-30,Nam,JPN,2020,TT,66 Hoàng Sa,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,Vietnam,88 Võ Nguyên Giáp,Sơn Trà,Sơn Trà,Đà Nẵng,Vietnam,77 Quang Trung,Hải Châu,Hải Châu,Đà Nẵng,Vietnam,vanc@student.university.edu.vn,0969876543,Đã thôi học,Vietnam,456789123,2018-12-01,Công an TP Đà Nẵng,2028-12-01,,,,,,,,,,,
2020007,Đỗ Văn S,2001-03-12,Nam,LAW,2020,TT,22 Phạm Ngũ Lão,Cầu Giấy,Cầu Giấy,Hà Nội,Vietnam,11 Lê Lợi,Hoàn Kiếm,Hoàn Kiếm,Hà Nội,Vietnam,99 Trần Hưng Đạo,Ba Đình,Ba Đình,Hà Nội,Vietnam,vans@student.university.edu.vn,0912348765,Đã thôi học,Vietnam,,,,,,,,,,,,,,,
2020008,Zhang Wei,2000-11-30,Nam,FRA,2020,TT,101 Lê Duẩn,Hải Châu,Hải Châu,Đà Nẵng,Vietnam,99 Wangfujing,Dongcheng,Beijing,Beijing,China,88 Nanjing Road,Huangpu,Shanghai,Shanghai,China,zhang.wei@student.university.edu.vn,+8613812345678,Tạm dừng học,China,,,,,,,,,,CN4567891,2020-12-01,Shanghai Consulate,2030-12-01,China,Hộ chiếu thường
